Eikapsels roggen en haaien;;;;
 ; ; ; ; 
_____________________________;_____________________________;_____________________________;_____________________________;_____________________________
 ;Waarneming;Trend;Onzekerheid;Onzekerheid
 ; ; ;Trend;Trend
 ; ; ;Ondergrens;Bovengrens
_____________________________;_____________________________;_____________________________;_____________________________;_____________________________
 ; ; ; ; 
 ;Index (trendlijn in 1945 = 100); ; ; 
 ; ; ; ; 
1945-1949;100;136;86;217
1950-1954;81;89;65;120
1955-1959;134;58;45;74
1960-1964;65;39;30;51
1965-1969;14;25;19;33
1970-1974;16;17;13;23
1975-1979;20;18;14;23
1980-1984;18;22;17;28
1985-1989;35;26;21;33
1990-1994;31;30;24;38
1995-1999;32;30;24;37
2000-2004;22;27;22;34
2005-2009;25;23;19;27
2010-2014;19;17;15;20
2015-2016;12;12;10;15
 ; ; ; ; 
 ; ;Trendbeoordeling; ; 
Trend gehele periode; ;Sterke afname; ; 
Trend laatste 10 jaar; ;Stabiel; ; 
_____________________________;_____________________________;_____________________________;_____________________________;_____________________________
Bron:;Stichting Anemoon; ; ; 
Trendklasse:;Matig: <5% /jaar; ; ; 
 ;Sterk: >5% /jaar; ; ; 
 ;Stabiel: niet signifcant, maar zeker <5% /jaar; ; ; 
 ;Onzeker: niet signifcant, maar mogelijk >5% /jaar; ; ; 
_____________________________;_____________________________;_____________________________;_____________________________;_____________________________
Referentiecode:;www.clo.nl/nl124910; ; ; 
Indicatorcode:;1249_001g_clo; ; ; 
Indicatorversie:;10; ; ; 
