Jaar;Alk of zeekoet;Drieteenmeeuw;Dwergmeeuw;Grauwe pijlstormvogel;Grote jager;Grote mantelmeeuw;Grote stern;Jan-van-Gent;Kleine alk;Kleine mantelmeeuw;Noordse pijlstormvogel;Noordse stormvogel;Papegaaiduiker;Roodkeelduiker of parelduiker;Vaal stormvogeltje;Visdief of Noordse stern;Zilvermeeuw
1991;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100
1992;89;92;476;126;147;29;127;83;18;73;122;270;87;103;44;139;17
1993;25;53;681;266;269;69;348;231;10;967;75;249;70;57;16;461;52
1994;39;115;1186;93;254;45;315;217;5;98;130;146;57;29;73;393;15
1995;27;54;557;62;262;38;846;143;5;134;60;308;53;228;34;781;469
1996;120;256;2843;231;288;116;153;2225;274;74;64;149;63;129;23;432;55
1997;51;72;876;198;357;88;177;211;23;60;56;95;8;26;338;213;21
1998;196;239;1562;136;255;31;327;293;77;89;93;316;6;71;154;658;31
1999;64;116;138;85;204;27;272;180;122;257;85;384;90;28;75;133;23
2000;135;179;2090;420;104;33;433;186;97;362;165;308;27;25;23;299;31
2001;120;221;619;163;296;42;557;226;475;307;93;289;71;58;27;492;15
2002;148;214;957;361;273;38;616;214;186;623;71;189;143;10;14;272;25
2003;99;299;2281;80;255;46;332;355;263;453;119;243;84;27;99;481;27
2004;223;176;4533;44;266;33;1023;312;213;698;233;108;103;79;401;1132;5
2005;124;208;814;550;203;79;418;303;172;200;241;73;69;22;50;988;44
2006;87;118;10429;121;186;46;732;115;125;172;171;32;46;6;77;706;10
2007;90;135;2148;361;215;30;491;97;161;457;90;97;21;4;104;608;7
2008;116;437;5257;316;526;118;632;60;27;288;87;19;43;28;104;715;13
2009;109;112;329;204;336;42;1648;211;20;285;82;24;59;108;125;786;30
2010;163;146;4400;509;222;56;2263;219;28;274;102;59;34;1;78;946;15
2011;110;210;4771;365;327;41;487;344;5;148;392;46;170;14;64;424;13
2012;107;83;314;90;304;16;628;206;146;331;85;24;120;106;68;196;5
2013;86;46;310;92;95;15;214;179;39;793;25;19;65;7;49;13;13
