Jaar;Bot;Doornhaai;Dwergbolk;Dwergtong;Gevlekte rog;Grauwe poon;Haring;Harnasmannetje;Hondshaai;Horsmakreel;Kabeljauw;Kleine pieterman;Lange schar;Makreel;Mul;Pitvis;Rode poon;Schar;Schelvis;Schol;Schurftvis;Sprot;Steenbolk;Stekelrog;Sterrog;Tong;Tongschar;Vierdradige meun;Wijting;Zandspiering s.l.;Zeedonderpad
1990;100;100;100;100;100;100;100;100;100;;100;100;100;;;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100
1991;162;98;87;88;720;104;135;74;64;100;100;46;84;100;100;40;59;64;182;80;72;102;39;248;94;59;73;200;128;19;113
1992;92;29;22;205;136;116;74;115;44;327;98;126;116;254;174;18;122;76;338;113;93;210;20;177;89;99;58;224;114;49;67
1993;102;77;28;249;123;133;229;68;56;150;129;116;199;39;57;8;131;77;434;98;197;251;14;58;84;71;110;179;112;54;140
1994;71;71;37;228;108;96;120;75;48;210;82;114;141;45;295;24;18;54;190;69;91;345;36;54;80;68;74;128;88;46;63
1995;96;66;42;191;285;115;102;166;95;156;208;217;195;114;2118;109;37;51;398;76;83;250;77;13;77;92;94;193;86;36;41
1996;81;89;27;242;87;168;130;75;87;117;128;210;156;112;250;73;75;67;284;92;107;134;8;57;71;62;102;138;80;214;15
1997;95;92;13;157;311;91;218;157;50;395;204;146;212;32;1274;35;33;60;390;117;39;156;13;87;63;126;92;216;48;207;75
1998;76;49;41;127;95;155;154;97;33;85;214;165;282;20;821;29;108;72;223;100;91;339;9;100;85;56;140;258;53;42;69
1999;71;167;40;423;88;288;86;99;94;108;117;202;239;128;425;87;19;62;140;115;102;373;56;31;79;89;139;209;70;91;31
2000;73;15;26;410;110;148;199;75;139;229;104;183;236;15;319;124;17;51;843;109;71;231;32;68;78;70;143;368;91;72;21
2001;63;65;63;253;76;114;198;110;93;511;67;300;157;38;283;99;25;50;715;132;127;302;22;68;54;94;136;124;99;85;91
2002;47;72;61;324;242;127;237;166;166;459;89;197;156;106;585;115;69;54;406;126;161;188;40;87;59;73;171;193;81;38;54
2003;65;63;64;250;217;155;283;158;205;287;35;236;136;84;1258;127;74;58;195;123;206;237;11;78;46;90;169;230;56;46;128
2004;53;43;67;325;162;129;126;170;178;122;74;290;137;107;276;119;109;53;146;107;237;233;21;40;51;46;129;198;41;38;133
2005;103;82;50;181;223;185;111;104;147;121;46;153;161;21;99;137;109;49;71;116;191;380;54;78;47;73;103;173;31;40;129
2006;52;55;28;109;75;151;149;99;249;70;58;149;114;12;251;118;123;61;271;117;107;334;11;91;36;69;89;124;29;100;83
2007;77;37;60;221;288;171;75;71;262;31;57;259;196;509;1543;123;128;74;241;150;198;275;10;41;45;57;129;196;25;32;102
2008;88;104;67;260;460;143;121;160;312;108;36;202;167;117;140;148;110;76;91;160;215;247;71;151;38;73;121;151;37;54;158
2009;72;107;42;293;409;119;148;54;354;56;31;277;99;42;196;153;128;62;97;175;263;302;26;182;25;88;77;84;43;46;67
2010;121;160;23;303;393;185;67;64;355;146;44;87;87;35;191;43;102;63;213;220;227;311;10;43;28;88;93;135;54;64;118
2011;126;134;18;197;318;177;268;58;249;58;46;92;70;71;102;36;103;68;232;211;182;236;26;17;23;95;119;72;51;124;143
2012;68;25;31;205;566;178;152;165;350;52;54;155;130;15;105;115;141;80;114;235;230;564;7;228;31;51;167;160;56;40;112
2013;52;97;23;197;557;171;106;159;224;35;51;152;117;70;25;114;93;72;53;182;192;213;8;88;21;39;104;154;36;51;116
2014;60;138;9;313;406;196;176;215;296;105;48;108;164;27;869;100;176;115;72;228;256;733;24;104;23;63;142;174;45;58;149
2015;56;78;11;664;515;267;224;94;551;102;71;46;123;6;491;73;119;106;109;237;274;636;15;151;30;64;122;79;55;64;81
2016;67;144;33;656;451;169;142;130;751;304;54;278;145;133;336;72;209;105;124;239;332;355;38;112;20;66;146;81;59;51;75
